enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
66,1997,24.28,24.28,0,6.25,6.26,28.5,28.5,3.7,0,3.46,12.48,14.84,6.74,0,0,0,0,0,0,3.51
66,1998,67.24,71.21,0,20.43,21,239.28,74.61,10.21,0,10.05,33.91,38.02,2.63,0,0,0,0,0,0,0.42
66,1999,27.28,35.18,0,4.36,4.54,34.94,13.29,1.93,0,1.81,7.95,9.25,10.81,0,0,0,0,0,0,2.86
66,2000,113.23,134.57,0,4.91,5.15,235.95,105.02,13.14,0,2.42,12.79,15.57,6.42,0,0,0,0,0,0.35,2.27
66,2001,60.9,81.09,0,11.05,11.59,97.36,56.51,6.14,0,3.44,20.35,26.87,3.72,0,0,0,0,0,0.54,1.44
66,2002,79.01,71.31,0,14.5,17.27,75.11,46.42,6.25,50.57,6.15,28.36,34.4,2.91,2.33,0,0,0,0,0.52,1.36
66,2003,46.62,27.85,0,8.29,9.79,17.21,14.06,3.2,0,3.03,-4.07,-3.91,-25.58,-10.46,0,0,0,0,0.97,5.79
66,2004,38.44,39.3,31.48,11.51,12.99,33.66,27.51,5.89,1.15,5.81,21.05,23.68,4.22,35.42,0,0,0,0,0.43,2.88
66,2005,31.2,31.2,24.84,8.93,10.08,25.33,22.38,5.44,0,5.02,16.87,18.61,5.37,19.37,0,0,0,0,0.48,3.94
66,2006,32.04,31.57,35.77,8.15,9.39,35.39,29.82,5.64,0,5.18,17.34,18.85,5.31,21.3,0,0,0,0,1.06,2.88
66,2007,26.5,26.79,29.83,7.98,10.02,33.47,26.86,5.28,0,4.87,16.39,17.74,5.64,21.37,0,0,0,0,1.11,3.03
66,2008,22.29,22.28,25.65,6.45,8.97,27.91,22.14,4.19,0,3.94,13.47,14.76,6.78,22.43,0,0,0,0,1.21,3.66
66,2009,16.28,15.77,16.85,4.44,30.18,16.53,13.93,2.6,1.32,2.63,9.26,11.07,9.03,16.93,24.19,5.11,3.62,19.57,2.15,5.72
66,2010,22.45,19.78,14.72,4.5,14.74,14.06,13.01,3.68,2.15,3.46,12.09,14.45,6.92,13.69,28.85,7.23,4.43,22.73,1.06,7.31
66,2011,25.07,16.78,15.02,4.63,0,17.5,15.5,3.63,2.58,3.43,14.17,17.23,5.8,10.94,30.41,8.28,4.75,24.41,0.83,5.7
66,2012,14.13,16.46,15.44,3.77,24.39,14.6,12.88,3.42,2.04,3.32,8.36,9.58,10.44,12.94,27.32,7.6,4.68,23.64,1.62,6.95
66,2013,25.83,24.76,15.73,5.17,0,22.07,18.94,4.46,1.9,4.61,15.48,18.85,5.31,16.8,35.38,9.53,6.34,32.56,1.19,4.49
66,2014,22.41,22.24,15.56,4.73,0,22.8,19.43,4.43,1.53,4.51,13.72,16.58,6.03,18.44,32.49,8.37,5.96,30.42,1.29,4.3
66,2015,21.26,19.62,13.9,3.46,0,25.25,19.93,3.97,1.4,4.41,14.03,17.17,5.82,18.37,28.12,6.81,5.19,27.34,1.97,4.09
66,2016,28.66,23.58,18.66,3.74,0,29.28,24.16,4.23,2.64,4.51,16.95,22.11,4.52,12.48,33.45,7.37,6.01,32.46,1.58,3.45
66,2017,27.24,28.97,17.53,3.72,0,27.38,21.45,4.5,10.65,4.68,16.14,20.12,4.97,5.92,35.19,7.12,6.2,33.65,1.53,3.69
66,2018,27.9,30.47,19.47,4.45,90.91,29.69,22.19,4.77,5.43,4.81,17.13,21.23,4.71,8.51,36.79,6.99,6.43,35.04,1.19,3.33
66,2019,25.42,27.35,19.07,3.62,55.9,36.48,24.12,4.2,4.33,4.29,14.37,17.62,5.68,9.36,31.64,5.7,5.52,31.31,1.73,2.72
66,2020,43.28,34.33,29.45,4.68,0,53.62,41.09,5.21,5.83,5.51,21.5,29.27,3.42,8.02,41.49,7.07,6.97,43.32,1.25,1.86
66,2021,24.65,24.13,14.55,4.25,0,19.87,17.62,4.64,2.63,4.95,13.87,17.08,5.85,12.06,34,5.77,5.85,35.02,1.33,5.04
66,2022,28,27.56,18.56,3.76,38.49,27.18,23.68,5.29,2.33,5.51,16.04,19.69,5.08,14.64,36.56,5.84,6.19,37.32,1.61,3.71
66,2023,49.69,44.85,23.35,2.83,35.04,23.73,20.06,3.67,5.35,3.83,16.46,22.36,4.47,12.17,26.75,3.81,4.22,26.08,1.99,4.2
