enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
71,1994,68.35,299.53,0,1.77,1.77,29.48,13.83,0.92,0,1.11,17.38,76.06,1.31,0,0,0,0,0,0,3.42
71,1995,51.42,79.98,0,1.31,1.31,47.89,15.99,0.84,0,1.01,14.02,32.13,3.11,0,0,0,0,0,0,2.15
71,1996,35.49,53.1,0,1.65,1.65,20.94,10.06,0.85,0,1.03,12.33,31.8,3.14,0,0,0,0,0,1.07,4.98
71,1997,30.92,38.49,0,2.07,2.07,13.87,7.83,0.97,0,1.12,10.74,20.59,4.86,0,0,0,0,0,0.69,7.31
71,1998,28.42,33.16,0,1.98,1.98,0,12.17,1.06,0,1.39,10.22,19.58,5.11,0,0,0,0,0,0.68,-3.54
71,1999,29,33.66,0,1.96,1.96,0,7.73,1.03,0,1.29,10.17,21.88,4.57,0,0,0,0,0,0.53,-0.3
71,2000,43.19,56.31,0,3.1,3.1,0,18.93,1.64,0,1.88,15.69,34.16,2.93,0.51,63.51,3.54,1.79,0,0.37,-1.3
71,2001,23.93,36.84,0,2.2,2.2,70.42,11.18,1.22,0,1.46,12.19,24.28,4.12,0.35,48.11,2.75,1.43,0,0.52,1.46
71,2002,23.9,20.58,0,1.92,1.92,0,8.73,0.93,0,1.26,9.5,16.53,6.05,16.69,38.99,2.23,1.18,0,0.68,-0.11
71,2003,12.53,11.9,0,1.32,1.32,20.09,4.58,0.62,0,0.94,6.81,11.47,8.72,3.76,24.03,1.5,0.81,0,1.15,5.06
71,2004,11.29,11.68,0,1.67,1.67,16.78,5.84,0.77,0,1.09,7.15,11.31,8.84,-5.32,27.39,2.06,1.1,0,0.98,5.82
71,2005,11.2,11.41,0,1.41,1.41,29.42,5.56,0.71,0,1.08,7.5,11.98,8.35,25.63,22.93,1.94,1.05,0,1.26,3.49
71,2006,15.29,16.3,0,1.96,1.96,0,8.3,0.99,0,1.4,9.55,15.71,6.37,25.68,30.41,2.87,1.55,0,1.55,-1.24
71,2007,14.78,15.13,0,2.03,2.03,60.38,7.5,1.01,0,1.45,9.56,15.46,6.47,27.39,29.91,3.09,1.65,0,1.5,1.67
71,2008,9.2,9.36,0,1.35,1.35,67.28,5.3,0.6,1.16,1,6.6,10.56,9.47,8.05,16.69,1.85,0.97,0,2.6,1.47
71,2009,At Loss,At Loss,0,0.97,0.97,0,6.63,0.48,0,0.97,20.33,-38.87,-2.57,5.39,11.5,1.11,0.57,0,3.13,-8.73
71,2010,56.07,72.1,13.21,1.1,1.1,10.48,4.59,0.62,0,1.1,11.94,63.95,1.56,-15.46,14.22,1.29,0.66,84.69,1.59,9.8
71,2011,25.74,26.39,18.32,0.99,0.99,31.57,5.19,0.55,0,1.05,11.3,33.72,2.97,-10.81,13,1.12,0.57,51.88,1.69,3.24
71,2012,39.58,43.85,0,1.07,1.07,0,7.73,0.6,0,1.12,13.71,45.82,2.18,-8.79,14.08,1.16,0.58,84.79,1.35,-0.7
71,2013,16,16.05,15.77,1.27,1.27,32.26,6.28,0.7,1.87,1.22,10.62,18.84,5.31,9.84,18.6,1.53,0.76,76.6,1.88,3.1
71,2014,10.13,10.33,8.7,1.27,1.27,19.1,5.07,0.72,0.25,1.22,8.43,12.71,7.87,22.77,20.25,1.69,0.86,55.57,2.77,5.28
71,2015,12.19,12.54,15.44,1.58,1.58,80.73,7.19,0.97,0.53,1.51,9.48,14.06,7.11,21.53,25.77,2.23,1.17,78.48,2.35,1.24
71,2016,8.09,8.08,9.4,1.09,1.09,46.61,4.2,0.66,0.25,1.12,6.84,10.52,9.51,22.28,16.75,1.49,0.8,54.26,3.41,2.2
71,2017,10.08,10.22,23.46,1.04,1.04,682.71,5.17,0.67,0.53,1.16,8.32,14.35,6.97,21.61,16.62,1.43,0.8,61.15,3.41,0.15
71,2018,8.2,8.26,15.94,1.07,1.07,32.73,4.84,0.7,1.09,1.16,7.8,12.91,7.75,9.75,17.28,1.52,0.87,61.56,2.89,3.1
71,2019,10.06,8.95,200.03,0.93,0.98,683.2,5.03,0.63,3.29,1.12,8.26,14.66,6.82,4.25,13.62,1.34,0.79,46.19,3.34,0.15
71,2020,9.03,9.08,0,0.87,0.91,0,7.71,0.62,11.95,1.13,7.63,11.91,8.4,0.76,11.95,1.24,0.75,115.53,1.53,-7.55
71,2021,10.84,11.25,410.68,1.01,1.06,0,8.98,0.9,5.41,1.52,8.94,13.89,7.2,1,14.18,1.53,0.96,1069.24,2.72,-4.39
71,2022,10.83,11.75,26.09,1.12,1.18,0,8.29,0.98,1.28,1.57,8.45,12.28,8.14,8.34,15.67,1.78,1.16,1582.2,2.52,-0.37
71,2023,10.48,11.2,33.98,0.91,0.95,0,8.69,0.69,1.06,1.25,8.09,12.53,7.98,8.51,11.91,1.32,0.9,0,2.8,-2.92
