enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
83,2005,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2006,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2007,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2008,63.96,32.05,0,2.33,43.86,403.95,88.73,7.54,0,7.44,27.16,31.52,3.17,0,0,0,0,0,0.17,0.22
83,2009,22.3,26.5,0,2.08,23.04,208.19,93.91,7.59,0,6.32,10.06,10.61,9.43,0,0,0,0,0,0.6,0.52
83,2010,18.51,18.91,60.29,2.04,24.5,22.4,20.41,6.81,0,5.84,9.8,10.37,9.64,0,0,0,0,0,0.67,4.79
83,2011,16.61,17.17,32.77,2.16,17.12,17.23,15.65,6.6,0,5.84,9.33,9.82,10.18,1.99,0,0,0,0,0.71,6.17
83,2012,42.49,21.66,0,3.23,19.7,19.65,18.18,8.74,0,8.29,13.15,13.85,7.22,40.89,0,0,0,0,0.66,5.19
83,2013,25.15,25.15,513.76,4.5,31.54,49.16,41.48,10.64,0.77,9.92,15.29,16.13,6.2,21.97,0,0,0,0,0.69,2.11
83,2014,24.69,23.5,36.06,4.79,30.9,20.23,18.68,10.6,1.22,10.03,15.59,16.47,6.07,21.92,0,0,0,0,0.75,5.07
83,2015,27,26.59,54.89,5.66,25.37,27.74,25.99,12.33,1.46,11.73,17.15,18.09,5.53,20.77,63.2,8.02,20.28,59.89,0.69,3.65
83,2016,33.35,29.12,112.21,7.19,0,39.53,35.82,13.24,2.03,13.81,23.29,24.68,4.05,16.73,63.52,8.84,21.33,65.01,0.68,2.58
83,2017,37.59,30.24,62.2,8.87,0,29.27,27.05,13.73,2.26,13.73,19.82,20.73,4.82,15.63,63.37,10.07,22.95,63.81,0.63,3.56
83,2018,33.96,32.77,51.77,11.62,0,28.6,27.01,16.96,2.19,16.6,24.38,25.49,3.92,17.11,70.98,13.22,28.07,67.84,0.55,3.69
83,2019,32.33,31.85,63.57,12.88,0,32.49,30.57,17.01,1.83,16.82,24.05,25.07,3.99,19.58,66.31,14.34,27.81,62,0.58,3.2
83,2020,40.89,39.68,151.15,13.62,0,45.81,42.58,20.35,2.47,19.83,28.74,30.28,3.3,18.09,66.62,15.97,28.95,63.54,0.6,2.29
83,2021,39.56,37.69,72.89,13.83,0,33.56,32.01,20.22,2.88,20.03,27.79,29.13,3.43,15.32,61.99,16.32,27.82,57.96,0.57,3.04
83,2022,25.38,23.69,52.56,11.29,0,21.22,20.13,12.95,2.37,13.02,19.53,20.43,4.89,13.32,39.25,11.82,18.56,37.07,0.84,4.76
83,2023,27.78,26.23,68.13,12.28,0,24.35,23.11,14.69,2.35,14.58,21.04,21.95,4.56,14.11,43.52,14.38,21.06,39.67,0.78,4.14
