enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
87,1994,15.1,19.15,18.46,2.3,2.3,17.28,6.83,0.8,0,0.95,7.64,12.75,7.84,0,14.35,2.27,0.79,20.27,4.56,5.8
87,1995,14.92,19.3,17.09,2.05,2.05,23.85,7.77,0.77,0,0.9,7.45,12.75,7.84,-9.23,13.7,2.11,0.75,19.79,4.79,4.25
87,1996,15.54,19.49,16.14,2.5,2.5,14.97,7.26,0.93,0,1.03,7.62,12.08,8.28,3.34,17.48,2.7,0.96,22.84,3.74,6.72
87,1997,16.28,20.99,16.34,2.81,2.81,20.75,9.38,1.06,3.87,1.12,8.5,13,7.69,9.05,20.33,3.14,1.1,25.75,3.19,4.89
87,1998,18.15,25.47,11.43,3.46,3.46,15.71,7.18,0.87,2.42,0.9,6.37,9.5,10.53,14.35,24.03,3.82,1.26,28.04,2.66,6.51
87,1999,32.07,60.73,20.69,2.89,2.89,48.68,10.98,1.09,4.03,1.19,11.39,22.07,4.53,18.22,28.73,4.39,1.41,34.15,2.24,2.09
87,2000,35.8,42.49,36.79,4.41,4.41,67.7,18.78,1.54,3.53,1.65,16.8,31.3,3.19,14.92,30.36,4.67,1.46,37.82,2.07,1.49
87,2001,17.25,17.32,15.96,4.26,4.26,21.09,13.33,1.32,1.63,1.34,5.21,6.02,16.61,13.7,29.11,4.78,1.49,36.26,2.02,4.81
87,2002,17.78,17.56,22.93,3.66,3.66,21.12,11.9,1.28,0.77,1.28,4.9,5.72,17.48,23.66,24.68,4.17,1.31,30.03,2.88,4.82
87,2003,20.83,23.18,21.6,3.14,3.14,24.29,11.23,1.17,1.21,1.18,4.93,5.94,16.84,23.16,20.87,3.54,1.13,24.6,2.63,4.19
87,2004,12.69,15.61,12.27,2.99,2.99,17.46,9.58,1.11,0.65,1.1,4.13,4.79,20.88,23.95,21.59,3.91,1.25,26.15,2.39,5.81
87,2005,13.18,13.79,10.1,3.22,3.22,11.68,8.23,1.12,0.77,1.08,6.14,7.54,13.26,22.43,23.08,4.5,1.42,25.91,2.07,8.71
87,2006,9.84,10.57,8.55,3.1,3.1,10.36,7.38,0.96,3.76,0.87,4.56,5.33,18.76,8.22,20.78,4.51,1.39,23.25,2.03,9.96
87,2007,11.58,12.56,10.88,3.86,3.86,13.52,9.28,1.21,1.05,1.11,3.78,4.21,23.75,16.72,23.64,5.61,1.71,26.52,1.67,7.7
87,2008,12.9,12.9,11.7,4.14,4.14,14.31,10.08,1.32,0.77,1.22,5.75,6.73,14.86,21.66,24.12,6.16,1.91,27.46,1.46,7.26
87,2009,9.22,9.22,8.42,3.49,3.68,10.32,6.98,0.89,0.66,0.81,3.9,4.48,22.32,21.22,17.42,4.9,1.49,19.66,1.94,10.24
87,2010,17.13,17.13,18.57,2.92,2.92,55.57,11.62,1.09,2.31,1.07,6.9,9.23,10.83,15.19,13.74,3.83,1.2,16.25,2.43,1.84
87,2011,11.76,11.76,10.59,2.48,2.48,16.62,7.4,0.97,0,1.02,5.55,7.09,14.1,4.68,13.69,3.73,1.19,16.47,2.38,5.92
87,2012,10.07,10.07,10.14,2.6,2.6,16.94,7.46,0.88,0,0.88,4.62,5.6,17.86,2.99,13.99,3.85,1.24,17.53,2.18,6.07
87,2013,8.92,8.92,9.56,2.35,2.35,18.29,7.13,0.89,1.08,0.88,4.19,5.03,19.88,13.58,12.51,3.52,1.14,16.63,2.52,5.62
87,2014,13.73,13.73,20.1,2.52,2.52,39.76,9.96,1.06,1.37,1.1,6.18,8.03,12.45,13.58,13.77,3.72,1.24,19.32,2.43,2.56
87,2015,12.16,12.16,21.38,2.23,2.23,32.54,8.77,1,1.3,1.06,6.06,8.08,12.38,13.42,12.04,3.11,1.08,18.44,2.92,3.13
87,2016,20.25,20.25,74.88,1.9,1.9,84.91,10.78,1.36,0,1.52,9.05,16.38,6.11,-2.27,10.49,2.44,0.92,17.37,3.69,1.19
87,2017,48.01,48.01,133.72,2.24,2.24,63.7,17.07,1.88,0,2.09,13.67,49.87,2.01,-16.57,12.93,2.62,1.07,22.3,3.3,1.58
87,2018,18.06,18.06,20.9,1.89,1.89,24.28,11.84,1.5,0,1.69,10.23,20.78,4.81,-17.06,12.42,2.27,1.01,22.57,3.66,4.14
87,2019,13.97,13.97,15.24,1.51,1.51,17.71,8.09,1.04,0,1.18,6.55,10.42,9.6,-8.57,10.75,1.73,0.84,20.83,4.74,5.69
87,2020,20.77,20.77,17.12,1.54,1.54,55.65,10.03,1.17,0,1.36,8.69,16.59,6.03,0.25,10.99,1.66,0.86,20.97,4.92,1.81
87,2021,At Loss,At Loss,29.65,1.11,1.11,0,12,0.99,0,1.37,13.39,-8.83,-11.33,1.13,7.97,0.95,0.53,14.8,8.44,-1.5
87,2022,11.35,11.35,8.01,1.54,1.54,7.25,5.43,0.94,0,1.11,5.82,9.55,10.47,0.59,12.14,1.32,0.79,18.96,5.7,13.9
87,2023,8.32,8.32,7.75,2.31,2.31,8.08,6.14,1.18,0.84,1.18,4.57,5.97,16.75,14.6,20.27,2.24,1.39,26.21,3.25,12.97
