,years,year_id
0,1950,50
1,1951,51
2,1952,52
3,1953,53
4,1954,54
5,1955,55
6,1956,56
7,1957,57
8,1958,58
9,1959,59
10,1960,60
11,1961,61
12,1962,62
13,1963,63
14,1964,64
15,1965,65
16,1966,66
17,1967,67
18,1968,68
19,1969,69
20,1970,70
21,1971,71
22,1972,72
23,1973,73
24,1974,74
25,1975,75
26,1976,76
27,1977,77
28,1978,78
29,1979,79
30,1980,80
31,1981,81
32,1982,82
33,1983,83
34,1984,84
35,1985,85
36,1986,86
37,1987,87
38,1988,88
39,1989,89
40,1990,90
41,1991,91
42,1992,92
43,1993,93
44,1994,94
45,1995,95
46,1996,96
47,1997,97
48,1998,98
49,1999,99
50,2000,0
51,2001,1
52,2002,2
53,2003,3
54,2004,4
55,2005,5
56,2006,6
57,2007,7
58,2008,8
59,2009,9
60,2010,10
61,2011,11
62,2012,12
63,2013,13
64,2014,14
65,2015,15
66,2016,16
67,2017,17
68,2018,18
69,2019,19
70,2020,20
71,2021,21
72,2022,22
73,2023,23
74,2024,24
75,2025,25
76,2026,26
77,2027,27
78,2028,28
79,2029,29
