Code,Years,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Cash per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,Return-on-Tangible-Equity,Return-on-Tangible-Asset,ROC (Joel Greenblatt) %,ROCE %,5-Year RORE %,1-Year ROIIC %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,EBITDA Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Liabilities-to-Assets,Gross-Profit-to-Asset %,Degree of Financial Leverage,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Capex-to-Revenue,Capex-to-Operating-Income,Capex-to-Operating-Cash-Flow,Revenue,Cost of Goods Sold,Gross Profit,Gross Margin %,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Total Operating Expense,Operating Income,Operating Margin %,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Pretax Income,Tax Provision,Tax Rate %,Other Net Income (Loss),Net Income Including Noncontrolling Interests,Net Income (Continuing Operations),Net Income (Discontinued Operations),Other Income (Minority Interest),Net Income,Net Margin %,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),EBIT,"Depreciation, Depletion and Amortization",EBITDA,EBITDA Margin %,Cash and Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,Notes Receivable,Loans Receivable,Other Current Receivables,Total Receivables,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,Other Gross PPE,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Long-Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Short-Term Debt,Short-Term Capital Lease Obligation,Short-Term Debt & Capital Lease Obligation,Current Deferred Revenue,Current Deferred Taxes Liabilities,Deferred Tax And Revenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Long-Term Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,Debt-to-Equity,Pension And Retirement Benefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,Equity-to-Asset,Net Income From Continuing Operations,"Cash Flow Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Other Working Capital,Change In Working Capital,Deferred Tax,Stock Based Compensation,Asset Impairment Charge,Cash from Discontinued Operating Activities,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Issuance of Debt,Payments of Debt,Net Issuance of Debt,Cash Flow for Dividends,Cash Flow for Lease Financing,Other Financing,Cash Flow from Financing,Beginning Cash Position,Effect of Exchange Rate Changes,Net Change in Cash,Ending Cash Position,Capital Expenditure,Free Cash Flow,PE Ratio,PE Ratio without NRI,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Cyclically Adjusted PB Ratio,Cyclically Adjusted PS Ratio,Cyclically Adjusted Price-to-FCF,Dividend Yield %,FCF Yield %,Market Cap,Enterprise Value,Month End Stock Price,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Cash Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,Buyback Yield %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth (%),5-Year EBITDA Growth Rate (Per Share),Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Restated Filing Date,Filing Date,Earnings Release Date,Number of Shareholders,Number of Employees,Forex Rate
AMZN,1996,0.004,-0.002,-0.002,-0.002,-0.002,0,-0.001,-0.001,0.001,0,0.001,0.001,0,0,-183.706,N/A,-75.253,-183.706,-75.253,-624.1,-183.56,0,0,-201.34,0,-,21.967,-40.918,-39.667,-37.756,-21.244,0,0.41,0,0.59,41.675,0,1.897,-,0,86.15,17.82,-68.33,0,20.48,0.78,0.038,0.085,0,0,15.746,12.287,3.459,21.967,7.501,2.401,0,9.902,-6.443,-40.918,0.202,-0.005,0.197,0,-6.246,0,0,0,-6.246,-6.246,0,0,-6.246,-39.667,0,-0.002,-0.002,3500,-6.241,0.296,-5.945,-37.756,6.2,0,6.2,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,7.1,0,0,0,0,0,1.3,1.3,-0.3,1,0,0,0.2,1.2,8.3,2.9,0,0,0,2.9,0,0,0,0,0,0,2,4.9,0,0,0,0,0,0,0,0,4.9,0,0,-6,0,0,0,9.4,3.4,0,3.4,0.41,-6.246,0.296,0,-0.554,-0.463,3.354,1.603,3.94,0,0,0,0,0,-2.01,-1.335,0,0,0,-5.233,0,0,0,0,-6.568,8.443,0,0,0,0,0,0,0,0.195,8.638,0.804,0,0.06,0.864,-1.335,-3.345,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,-0.337,28.1,1.45,1.33,1.27,0,0,0,-,0,0,0,0,0,3500,5731.88,0,03/05/99,03/05/99,,0,256,1
AMZN,1997,0.028,-0.005,-0.006,-0.006,-0.006,0,-0.001,0,0.022,0,0.005,0.005,0.014,0.251,-193.93,-3.86,-39.23,-193.93,-39.23,-572.33,-56.48,0,-142.62,-278.53,11.54,0.42,10.443,-22.055,-20.99,-18.44,-4.68,2.735,0.191,0.522,0.809,19.519,0.46,1.869,-,0,49.54,13.2,-36.34,0,27.66,0.9,0.032,0.051,0,11.067,147.787,132.353,15.434,10.443,48.029,12.5,-12.5,48.029,-32.595,-22.055,1.901,-0.326,1.575,0,-31.02,0,0,0,-31.02,-31.02,0,0,-31.02,-20.99,0,-0.006,-0.006,5213.64,-30.694,3.442,-27.252,-18.44,1.876,123.499,125.375,0,0,0,0,0,0,0,0,8.971,0,8.971,3.36,137.709,0,0,0,12.122,0,1.368,13.49,-3.764,9.726,0,0,2.409,12.135,149.844,33.027,0,0,3.454,36.481,1.5,0,1.5,0,0,0,6.57,44.551,76.521,0.181,76.702,2.735,0,0,0,76.702,121.253,1,0,-37.514,0,66.586,0,-1.481,28.591,0,28.591,0.191,-31.02,3.442,0,-8.4,-3.055,38.302,0,26.847,0,1.35,0,0,0.068,0.687,-7.603,0,0,0,-122.385,4.311,0,0,0,-125.677,53.358,0,0,75,-0.047,74.953,0,0,-2.309,126.002,0.864,0,1.012,1.876,-7.603,-6.916,At Loss,At Loss,0,50.2,50.2,0,0,8.97,0,9.45,-51.24,-45.5,-2.2,0,0,0,0,0,0,-0.48,1443.698,1396.525,0.251,0,0,0,0,0,0,0,0,8.53,N/A,0,-2.239,62.71,3.09,2.89,2.81,0,0.27,0.07,-0.33,-3.7,600,-200,-150,0,5213.64,5750.64,0,03/29/00,03/30/98,,0,614,1
AMZN,1998,0.103,-0.007,-0.016,-0.021,-0.013,0,0,0.005,0.059,0,0.022,-0.006,0.055,2.677,-148.857,-1.22,-31.203,0,-40.198,-480.82,-32.09,0,-15.05,-51.32,10.51,12.47,14.306,-10.318,-20.423,-7.048,0.443,2.515,0.214,0.538,0.786,21.856,0.78,1.528,-,0,51.09,13.44,-37.65,0,27.17,0.86,0.032,0.046,0,0.913,609.819,522.579,87.24,14.306,150.161,46.807,-46.807,150.161,-62.921,-10.318,14.053,-26.639,-12.586,-46.134,-121.641,0,0,-2.905,-124.546,-124.546,0,0,-124.546,-20.423,0,-0.021,-0.021,5926.88,-95.002,52.02,-42.982,-7.048,25.561,347.884,373.445,0,0,0,0,0,0,0,0,29.501,0,29.501,21.31,424.254,7.74,0,0,35.848,1.76,5.977,43.585,-13.794,29.791,178.638,174.05,8.037,224.206,648.46,113.273,0,0,47.494,160.767,0.808,0,0.808,0,0,0,0,161.575,348.14,0,348.14,2.515,0,0,0,348.14,509.715,3,0,-162.06,1.806,298.537,0,-2.538,138.745,0,138.745,0.214,-124.546,52.02,0,-20.513,-16.758,109.739,0,72.468,0,2.39,1.561,0,27.142,31.035,-28.333,0,-19.019,0,-504.435,227.789,0,0,0,-323.998,8.383,0,0,325.987,-78.108,247.879,0,0,-1.8,254.462,110.119,-0.035,-38.536,71.583,-28.333,2.702,At Loss,At Loss,0,121.68,0,0,535.42,25.99,0,27.93,-396.22,-179.26,-0.56,0,0,0,0,0,0,0.02,17054.947,17030.45,2.677,-0.02,-0.01,-0.02,0,0,0,0,0,21.15,5,6.49,0.762,25.97,2.63,2.44,2.31,0,2.933,0.215,-10.78,-0.05,267.86,-250,-40,0,5926.88,6370.68,0,03/23/01,03/05/99,,0,2100,1
AMZN,1999,0.251,-0.047,-0.085,-0.11,-0.076,0,-0.058,-0.014,0.102,0,0.039,-0.067,0.214,3.806,-355.52,-3.64,-46.236,0,-65.288,-321.6,-50.34,0,-24.66,-43.68,12.19,9.24,-6.488,-23.355,-43.905,-18.73,-23.047,5.561,0.108,0.6,0.892,-6.832,0.81,1.053,-,0,60.23,26.14,-34.09,0,13.96,1.06,0.076,0.175,0,0,1639.839,1746.228,-106.389,-6.488,276.6,0,0,276.6,-382.989,-23.355,45.451,-84.566,-39.115,-221.095,-643.199,0,0,-76.769,-719.968,-719.968,0,0,-719.968,-43.905,0,-0.11,-0.11,6535.06,-558.633,251.5,-307.133,-18.73,133.309,572.879,706.188,0,0,0,0,0,0,0,0,220.646,0,220.646,79.64,1006.477,371.462,0,0,187.345,83.29,96.342,366.977,-49.364,317.613,730.144,534.7,40.154,1459.373,2465.85,463.026,0,0,201.096,664.122,4.52,9.802,14.322,54.79,0,54.79,0,733.234,1444.874,21.464,1466.338,5.561,0,0,0,1466.338,2199.572,3,0,-882.028,-1.709,1194.369,0,-47.354,266.278,0,266.278,0.108,-719.968,251.5,0,-172.069,-54.927,450.883,6.225,230.112,0,30.62,0,0,116.861,-90.875,-287.055,0,-369.607,0,-2359.398,2064.101,0,0,0,-951.959,0,0,0,1263.639,-188.886,1074.753,0,0,29.318,1104.071,71.583,0.489,61.726,133.309,-287.055,-377.93,At Loss,At Loss,0,97.59,0,0,0,15.16,0,16.5,-88.07,-48.42,-2.07,0,0,0,0,0,0,-1.44,26274.924,27049.396,3.806,-0.22,-0.17,-0.2,0,0,0,0,0,6.72,2,-3.16,1.605,13.09,1.37,1.07,0.96,0,5.356,2.138,-8.36,0,143.69,-423.81,-571.43,0,6535.06,6903.1,0,01/24/02,03/29/00,,0,7600,1
AMZN,2000,0.394,-0.081,-0.139,-0.201,-0.126,-0.115,-0.038,-0.019,0.154,0,-0.135,-0.171,0.3,0.778,0,N/A,-61.346,0,-78.067,-285.3,-67.46,57.51,-6.79,-27.9,18.1,7.22,-1.016,-12.375,-51.096,-20.62,-9.602,-2.217,-0.453,1.004,1.453,-1.22,1.1,1.201,-,0,62.04,25.85,-36.19,0,14.12,1.01,0.072,0.049,0,0,2761.983,2790.041,-28.058,-1.016,313.739,0,0,313.739,-341.797,-12.375,40.821,-130.921,-90.1,-674.78,-1106.677,0,0,-304.596,-1411.273,-1411.273,0,0,-1411.273,-51.096,0,-0.201,-0.201,7017.46,-975.756,406.232,-569.524,-20.62,822.435,278.087,1100.522,0,0,0,0,0,0,0,0,174.563,0,174.563,86.04,1361.129,92.25,0,0,296.461,25.467,159.336,481.264,-114.848,366.416,255.325,158.99,60.049,774.04,2135.169,485.383,0,0,341.879,827.262,4.831,11.746,16.577,131.117,0,131.117,0,974.956,2102.627,24.837,2127.464,-2.217,0,0,0,2127.464,3102.42,4,0,-2293.301,-2.376,1338.303,0,-13.877,-967.251,0,-967.251,-0.453,-1411.273,406.232,-8.585,46.083,-8.585,150.665,106.403,285.981,0,24.8,188.832,0,374.986,-130.442,-134.758,0,-62.533,0,-184.455,545.724,0,0,0,163.978,0,0,0,681.499,-16.927,664.572,0,0,28.575,693.147,133.309,-37.557,689.126,822.435,-134.758,-265.2,At Loss,At Loss,0,0,0,0,0,1.97,0,2.39,-11.59,-6.77,-14.77,0,0,0,0,0,0,-4.77,5557.991,6601.51,0.778,-0.28,-0.24,-0.27,0,0,0,0,-0.36,-0.43,4,-0.76,0.031,-67.67,1.4,1.22,1.13,0,4.469,0.759,-3.47,0,56.97,-82.73,-72.34,0,7017.46,7142.8,2.86,02/19/03,03/23/01,,0,9000,1
AMZN,2001,0.429,-0.017,-0.053,-0.078,-0.028,-0.028,-0.023,-0.016,0.134,0,-0.193,-0.204,0.291,0.541,0,N/A,-29.515,0,-32.392,-121.35,-41.27,16.82,-75.08,-6.83,17.48,6.45,5.865,-1.59,-17.831,-3.89,-5.448,-1.508,-0.879,1.326,1.879,9.709,1.01,1.655,-,7.9,57.75,19.76,-30.09,46.18,18.47,0.94,0.051,0.016,0,0,3122.433,2939.29,183.143,5.865,232.782,0,0,232.782,-49.639,-1.59,29.103,-139.232,-110.129,-366.659,-526.427,0,0,-30.327,-556.754,-556.754,0,0,-556.754,-17.831,0,-0.078,-0.078,7284.22,-387.195,265.742,-121.453,-3.89,540.282,456.303,996.585,67.613,0,0,0,67.613,0,0,0,143.722,0,143.722,0,1207.92,28.359,0,0,238.311,0,199.832,438.143,-166.392,271.751,79.749,70.81,49.768,429.627,1637.547,444.748,0,0,373.696,818.444,5.07,9.922,14.992,87.978,0,87.978,0,921.414,2149.64,6.493,2156.133,-1.508,0,0,0,2156.133,3077.547,4,0,-2860.578,-36.07,1462.769,0,-10.121,-1440,0,-1440,-0.879,-567.277,265.742,20.732,30.628,20.732,5.248,94.006,171.346,0,4.64,43.588,0,-37.821,-119.782,-50.321,0,-6.198,0,-567.152,370.377,0,0,0,-253.294,99.831,0,0,10,-19.575,-9.575,0,0,16.625,106.881,822.435,-15.958,-282.153,540.282,-50.321,-170.103,At Loss,At Loss,0,0,0,0,0,1.26,0,1.67,-42.92,-13.46,-7.43,97.65,0,0,0,0,0,-4.21,4038.219,5212.759,0.541,-0.28,-0.25,-0.26,-10.21,0,0,0,-0.57,-0.32,4,-3.41,-0.124,-11.22,1.31,1.15,1.08,0,1.088,0.299,-4.5,-2.47,8.88,61.19,79.01,-107.6,7284.22,7464.36,3.05,02/25/04,01/24/02,,0,7800,1
AMZN,2002,0.52,0.01,-0.001,-0.02,-0.007,0.003,0.018,0.023,0.168,0,-0.174,-0.184,0.295,0.945,0,N/A,-8.265,0,-8.632,-3.02,-0.94,-0.46,-117.78,13.18,16.67,6.41,9.777,1.63,-3.812,1.896,3.436,-1.693,-0.68,1.151,1.68,21.198,0.76,2.168,-,8.35,54.67,17.8,-28.52,43.72,20.5,0.9,0.044,0.01,0.611,0.225,3932.936,3548.402,384.534,9.777,273.359,0,47.051,320.41,64.124,1.63,23.687,-142.925,-119.238,-95.519,-150.633,0.7,0.46,0,-149.933,-149.933,0,0,-149.933,-3.812,0,-0.02,-0.02,7567.26,-7.708,82.274,74.566,1.896,738.254,562.715,1300.969,112.282,0,0,0,112.282,0,0,0,202.425,0,202.425,0,1615.676,15.442,0,0,55.607,0,321.387,376.994,-137.596,239.398,74.271,70.81,45.662,374.773,1990.449,618.128,0,0,386.596,1004.724,5.813,7.506,13.319,47.916,0,47.916,-0.001,1065.958,2276.32,0.985,2277.305,-1.693,0,0,0,2277.305,3343.263,4,0,-3009.71,9.662,1649.946,0,-6.712,-1352.814,0,-1352.814,-0.68,-149.132,82.274,-31.704,-51.303,0,163.369,95.404,175.766,-0.553,68.93,12.577,0,-15.571,174.291,-39.163,0,0,0,-635.81,553.289,0,0,0,-121.684,0,0,0,0,-14.795,-14.795,0,0,121.689,106.894,540.282,38.471,197.972,738.254,-39.163,135.128,At Loss,At Loss,315,0,0,52.47,41.07,1.82,0,2.11,111.54,-1079.03,-0.09,-2.73,0,0,0,0,0,1.84,7327.544,8317.199,0.945,-0.26,-0.22,-0.24,-0.43,0,0,0,-0.51,1.49,6,-2.67,-0.222,-10.18,1.52,1.33,1.22,0.45,1.213,0.457,-3.94,0,21.21,74.36,158.82,0,7567.26,7758.12,2.66,03/11/05,02/19/03,,0,7500,1
AMZN,2003,0.628,0.029,0.02,0.004,0.017,0.019,0.041,0.047,0.173,0,-0.128,-0.137,0.242,2.631,Negative Equity,Negative Equity,1.686,Negative Tangible Equity,1.746,72.89,18.43,-27.87,-390.49,59.15,18.6,6.13,9.593,5.129,0.665,4.654,6.592,-1.882,-0.479,0.902,1.479,24.323,0.05,2.535,0,8.45,55.14,19.03,-27.66,43.19,19.18,0.9,0.047,0.009,0.17,0.117,5264,4759,505,9.593,232,0,3,235,270,5.129,22,-130,-108,-123,39,-4,10.26,0,35,35,0,0,35,0.665,0,0.005,0.004,8380,169,76,245,4.654,1102.273,292.55,1394.823,131.473,0,0,0,131.473,0,0,0,293.917,0,293.917,0.6,1820.809,0,0,0,57.413,0,314.325,371.738,-147.453,224.285,69.121,69.12,47.818,341.224,2162.033,819.811,0,0,390.83,1210.641,2.658,1.558,4.216,37.844,0,37.844,0,1252.701,1944.28,1.159,1945.439,-1.882,0,0,0,1945.439,3198.14,4,0,-2974.428,37.739,1899.398,0,-2.816,-1036.107,0,-1036.107,-0.479,35,76,2,-77,0,142,102,169,1,88,0,0,24,393,-46,0,0,5,-536,813,0,0,0,236,0,0,0,0,-495,-495,0,0,163,-332,738,67,364,1102,-46,347,657.75,154.76,138.47,0,0,64.17,55.98,4.19,0,4.14,88.9,128.87,0.78,-0.57,0,0,0,0,0,1.63,21224.487,21779.319,2.631,-0.22,-0.17,-0.19,-0.21,0,0,0,-0.32,5.06,6,-2.77,-0.242,-27.47,1.45,1.22,1.11,2.08,2.996,0.979,-3.98,0,20.77,120,190,0,7900,8067.08,2.6,02/17/06,02/25/04,,0,7800,1
AMZN,2004,0.814,0.063,0.054,0.07,0.072,0.064,0.056,0.067,0.217,0,-0.028,-0.045,0.226,2.215,Negative Equity,Negative Equity,21.737,Negative Tangible Equity,22.607,196.48,36.42,-119.3,160.66,133.44,10.82,5.62,10.374,6.358,8.496,7.773,6.892,-8.172,-0.07,0.571,1.07,26.543,12.93,2.559,0,13.96,57.72,22.77,-20.99,26.14,16.03,0.9,0.056,0.013,0.202,0.157,6921,6203,718,10.374,286,0,-8,278,440,6.358,28,-107,-79,-6,355,233,-65.63,0,588,588,0,0,588,8.496,0,0.073,0.07,8500,462,76,538,7.773,1303,476,1779,398,0,0,0,398,0,0,0,480,0,480,-118,2539,0,0,0,380,0,43,423,-177,246,139,139,324,709,3248,1142,0,0,478,1620,0,0,0,0,0,0,0,1620,1855,0,1855,-8.172,0,0,0,1855,3475,4,0,-2386,32,2123,0,0,-227,0,-227,-0.07,588,76,-2,-169,0,272,110,211,-257,58,-4.465,0,-105.535,566,-89,0,-71,0,-1584,1427,0,0,0,-317,0,0,0,0,-157,-157,0,0,60,-97,1102,49,201,1303,-89,477,31.64,30.76,34.61,0,0,39.54,33.05,2.72,0,2.63,33.87,39.44,2.54,0.36,0,0,0,0,0,2.63,18146.1,18222.1,2.215,-0.21,-0.11,-0.14,0.01,0,0,0,-0.06,5.04,8,-0.23,-0.07,10.44,1.57,1.27,1.1,4.11,2.859,1.692,-1.58,0,29.62,1650,117.24,0,8120,8194.22,1.18,02/16/07,03/11/05,,0,9000,1
AMZN,2005,0.996,0.075,0.061,0.042,0.039,0.089,0.062,0.086,0.24,0,0.03,0.01,0.178,2.358,3505.263,44.6,9.591,Negative Tangible Equity,10.021,175.08,30.36,756.25,-784.35,45.54,18.05,5.51,9.929,5.088,3.922,7.55,6.231,6.037,0.067,0.402,0.933,24.28,-3.13,2.445,0,20.34,59.85,24.96,-14.55,17.95,14.62,0.9,0.062,0.024,0.472,0.278,8490,7647,843,9.929,364,0,47,411,432,5.088,44,-92,-48,44,428,-95,22.2,0,333,333,0,0,333,3.922,0,0.044,0.042,8520,520,121,641,7.55,1013,987,2000,548,0,0,0,548,0,0,0,566,0,566,-185,2929,0,0,0,138,0,433,571,-223,348,159,159,260,767,3696,1366,0,0,533,1899,0,0,0,0,0,0,0,1899,1480,5,1485,6.037,0,20,46,1551,3450,4,0,-2027,6,2263,0,0,246,0,246,0.067,359,121,-84,-104,0,341,156,309,70,87,0,0,-213,733,-204,0,-24,0,-1386,836,0,0,0,-778,0,0,0,11,-270,-259,0,0,66,-193,1303,-52,-290,1013,-204,529,56.13,60.45,26.49,78.6,235.8,38.02,27.41,2.37,0,2.25,29.8,36.73,2.72,1.19,0,0,5.16,624.49,0,2.7,19614.4,19099.4,2.358,-0.17,-0.06,-0.09,0.3,0,0,0.09,0.28,5.74,5,-2.75,-0.083,10.23,1.54,1.24,1.05,4.7,2.475,1.586,-1.53,0,22.36,-40,19.05,0,8240,8320,2.46,02/11/08,02/17/06,,0,12000,1
